Idade,Gênero,Nível_Educação,Renda,Comprou_Curso
36,Feminino,Ensino Médio,2266,Não
24,Feminino,Graduação,1083,Não
24,Masculino,Pós-graduação,2941,Não
39,Feminino,Graduação,4373,Não
43,Feminino,Pós-graduação,1488,Não
42,Feminino,Pós-graduação,4884,Não
41,Feminino,Pós-graduação,2590,Não
25,Feminino,Ensino Médio,1843,Sim
43,Masculino,Graduação,1389,Sim
46,Feminino,Graduação,2899,Não
40,Feminino,Graduação,2927,Sim
44,Feminino,Graduação,3438,Não
37,Masculino,Ensino Médio,4268,Não
37,Masculino,Ensino Médio,2816,Não
22,Feminino,Graduação,1862,Sim
28,Feminino,Graduação,3128,Não
18,Feminino,Ensino Médio,1238,Não
40,Masculino,Graduação,4386,Não
19,Masculino,Ensino Médio,3707,Não
45,Masculino,Pós-graduação,3298,Não
24,Masculino,Pós-graduação,4243,Não
42,Masculino,Graduação,947,Não
18,Feminino,Graduação,4601,Não
41,Masculino,Pós-graduação,3961,Não
34,Masculino,Pós-graduação,1484,Não
47,Masculino,Pós-graduação,2190,Sim
31,Feminino,Pós-graduação,2857,Não
49,Masculino,Ensino Médio,3957,Sim
21,Masculino,Ensino Médio,4666,Não
36,Feminino,Ensino Médio,3695,Não
36,Feminino,Ensino Médio,3774,Sim
43,Feminino,Pós-graduação,2279,Sim
34,Feminino,Graduação,4119,Não
48,Masculino,Pós-graduação,4914,Sim
19,Feminino,Ensino Médio,3411,Não
29,Feminino,Ensino Médio,2766,Sim
22,Masculino,Graduação,3906,Sim
44,Masculino,Ensino Médio,4103,Sim
49,Masculino,Ensino Médio,3576,Não
45,Masculino,Ensino Médio,4496,Não
35,Feminino,Pós-graduação,4218,Não
43,Masculino,Graduação,1787,Sim
44,Feminino,Graduação,1388,Não
46,Masculino,Ensino Médio,1790,Sim
20,Feminino,Ensino Médio,4186,Não
19,Feminino,Graduação,4324,Não
23,Feminino,Pós-graduação,3958,Sim
29,Masculino,Graduação,3205,Não
48,Masculino,Ensino Médio,2373,Não
38,Masculino,Graduação,1261,Não
