Idade,Gênero,Nível_Educação,Renda,Comprou_Curso
36,0,2,4812,0
33,0,0,3731,1
32,0,0,1628,1
30,0,1,2345,1
30,1,1,2702,1
41,0,2,921,0
21,1,1,2340,1
47,1,1,1305,1
31,0,2,1303,1
22,1,2,4251,0
33,1,1,3948,1
48,0,2,3635,0
45,0,2,2968,0
39,1,2,1769,1
30,1,0,4266,0
44,1,0,1906,1
30,1,1,4018,0
36,0,1,2089,0
22,0,2,3513,1
44,0,2,1634,0
33,1,1,2766,1
45,0,2,1221,1
47,0,1,906,1
47,1,1,3926,1
37,0,2,3434,1
24,0,1,4509,0
25,1,0,1496,1
49,0,2,2657,0
35,0,1,1502,0
28,0,2,3413,0
28,0,2,931,1
24,1,2,2321,1
37,0,1,829,0
39,1,0,4700,1
31,1,1,1889,0
39,1,2,2462,0
49,0,0,3493,1
35,1,2,4220,0
43,0,1,1378,0
49,0,2,3539,0
18,1,1,3252,0
23,0,1,1159,0
21,1,0,857,0
32,0,0,1866,0
48,0,2,4474,0
19,0,0,3621,0
33,0,2,2677,1
33,0,2,3511,0
45,0,1,4914,0
22,1,2,936,0
48,0,0,1878,0
47,0,1,2912,0
34,0,0,2326,0
24,0,0,4736,0
24,0,0,4644,1
38,0,2,3669,0
40,0,1,2220,0
27,0,2,1093,1
44,0,1,1459,0
31,1,1,4998,0
40,1,2,4517,0
49,1,2,1238,1
31,1,1,1960,0
39,1,0,2789,0
24,0,0,3713,0
18,0,1,2056,1
31,0,1,2562,0
33,1,1,2183,1
49,1,1,1478,0
19,0,2,3372,1
42,0,1,1621,0
41,0,2,2348,0
24,0,2,4354,0
30,0,0,3321,0
34,1,0,1570,1
34,0,1,4926,0
38,0,0,1960,0
45,1,0,2500,0
35,0,2,3472,0
36,1,0,2584,1
26,0,2,1513,0
32,1,2,3467,0
38,0,2,2729,1
32,1,2,2385,1
23,0,2,4860,0
23,0,1,4374,0
24,0,0,991,0
35,0,1,2943,1
30,0,2,3509,0
41,1,1,2103,1
25,0,1,3404,0
29,0,0,1333,1
29,1,1,4920,0
40,1,2,2093,0
34,1,0,4242,0
42,0,0,4853,0
36,1,1,2421,0
39,0,2,2241,0
24,1,1,4149,0
43,0,0,2573,1
28,1,1,4463,0
30,0,0,1459,0
18,1,1,1989,1
43,1,1,953,1
43,0,2,922,0
25,0,0,4823,0
41,0,2,3255,0
48,0,0,959,1
37,1,2,1006,0
25,1,2,4623,0
24,1,0,2832,0
32,0,2,2921,0
31,1,1,881,0
28,0,0,3045,0
24,1,0,4510,1
21,1,0,2229,0
35,0,1,2524,0
22,1,2,4037,1
33,0,0,3913,0
40,0,2,4317,0
36,1,0,2831,0
27,1,1,1395,0
40,0,0,1024,1
41,0,2,2890,0
36,0,0,3952,0
21,0,2,2575,0
48,0,2,2041,0
18,1,0,1544,1
29,0,2,4321,1
39,1,0,876,0
48,0,0,4077,0
48,0,1,4708,0
18,1,1,1536,0
49,0,0,3095,0
23,1,0,818,0
22,0,2,4082,1
45,0,2,4452,0
27,0,1,2966,0
38,0,1,1321,1
35,1,1,2342,1
46,0,2,2767,0
23,0,1,2318,1
39,1,2,4379,0
28,0,1,2687,0
25,0,1,3759,0
27,1,2,4389,0
40,1,0,3248,1
31,1,0,2679,0
31,1,1,2019,0
37,0,1,1566,0
22,1,1,2845,1
49,1,0,4647,0
20,1,2,3655,1
43,0,1,3485,0
48,0,0,4492,1
49,1,2,1356,1
24,1,2,1100,0
34,0,0,2383,0
25,1,0,2507,0
22,1,1,1969,1
28,1,1,3226,1
28,0,1,2894,0
40,1,0,2627,0
38,0,1,4006,1
26,0,1,1805,0
40,0,0,2101,0
23,1,0,4252,0
25,0,2,3981,0
40,0,0,1142,0
47,1,2,2130,0
42,0,1,4334,0
19,1,0,1833,1
18,1,2,4751,1
32,0,1,1782,0
22,0,1,3600,1
31,1,1,874,0
36,0,2,4500,0
45,0,0,1730,1
24,0,2,1737,0
18,0,0,3421,0
33,1,0,3448,1
30,0,1,2946,1
33,1,2,1332,1
35,1,2,3200,0
41,0,1,3639,0
43,0,0,3941,1
28,1,2,4662,0
19,1,2,2287,1
23,1,1,4605,0
34,1,0,1086,0
20,0,2,1690,1
27,1,2,3910,0
33,1,1,4335,1
36,0,1,2299,0
31,0,1,3173,0
27,0,1,3870,0
39,0,2,1279,0
43,0,1,3075,0
24,1,1,1685,0
19,1,0,4723,1
37,0,1,3437,1
38,1,0,3245,1
35,0,2,2708,1
34,1,1,3946,1
42,0,0,959,1
22,0,1,2340,1
48,0,0,3490,1
48,1,1,1259,1
28,0,0,1616,1
31,0,1,4331,1
44,0,0,954,1
42,0,0,4625,1
36,0,1,2739,1
37,1,1,2139,1
35,1,0,2609,1
36,0,1,2771,1
46,0,0,4480,1
32,0,0,3729,1
32,0,1,937,1
37,0,1,3994,1
34,0,1,2943,1
31,0,2,1308,1
30,1,1,2341,1
21,0,2,3551,1
23,0,1,2320,1
43,1,0,1895,1
33,0,1,2734,1
38,1,1,2124,1
46,0,1,912,1
35,1,0,3239,1
37,0,1,999,1
30,0,0,1331,1
30,0,1,3506,1
21,0,2,3467,1
34,1,0,3393,1
29,0,1,4030,1
40,1,1,2112,1
26,0,1,2898,1
31,1,1,2199,1
27,0,1,2343,1
30,0,0,1598,1
36,1,1,2147,1
31,1,0,3397,1
33,0,1,976,1
37,0,0,3944,1
27,0,1,2333,1
39,0,0,3251,1
47,0,2,1350,1
22,0,2,3510,1
37,0,0,4575,1
